id,marital,sex,head,earnmost,workstatus,occ,owner,ind,size,employed,regular,union,paymethod,monthlypaid,dailypaid,hourlypaid,yearlypaid,bonus,workdaypermonth,workhourperweek,overworkperweek,year,age
2,2,2,1,1,3,4,2,7,3,5,5,1,4,88888,888888,800,88888,0,16,18,0,2013,35
3,1,2,0,0,6,88,8,88,8,8,8,8,8,88888,888888,888888,88888,88888,88,888,888,2013,62
4,1,1,1,1,1,10,2,4,5,5,1,3,1,470,888888,888888,88888,50,24,50,10,2013,40
5,1,1,1,1,1,10,4,15,3,5,1,2,1,400,888888,888888,88888,120,27,60,20,2013,47
6,1,1,1,1,1,5,2,5,5,5,2,2,1,682,888888,888888,88888,380,20,50,10,2013,55
7,1,1,1,0,1,4,2,6,4,6,8,5,1,300,888888,888888,88888,90,22,20,0,2013,65
8,1,2,0,0,6,88,8,88,8,8,8,8,8,88888,888888,888888,88888,88888,88,888,888,2013,37
10,1,1,1,1,1,10,3,15,9,5,1,2,9,88888,888888,888888,88888,400,8,16,0,2013,66
11,1,2,0,0,1,8,2,16,4,5,5,1,4,88888,888888,800,88888,0,18,30,0,2013,40
12,1,2,0,0,3,3,2,6,3,5,5,1,4,88888,888888,800,88888,0,23,20,0,2013,62
13,1,1,1,1,1,3,1,6,1,1,8,1,1,250,888888,888888,88888,0,27,8,999,2013,50
14,1,1,1,1,1,7,2,10,3,5,2,5,1,250,888888,888888,88888,14,24,70,0,2013,48
15,1,1,1,1,1,3,2,6,5,5,2,9,9,88888,888888,888888,88888,99999,22,40,0,2013,58
16,1,2,0,0,3,8,2,10,5,5,5,5,4,88888,888888,900,88888,0,4,4,999,2013,38
17,1,2,0,0,3,10,1,15,1,6,8,5,4,88888,888888,1000,88888,0,99,999,999,2013,47
19,1,1,1,1,1,8,1,4,1,1,8,3,1,300,888888,888888,88888,0,25,63,999,2013,41
20,1,1,1,1,4,3,1,6,1,3,8,1,9,88888,888888,888888,88888,99999,25,30,999,2013,58
22,1,2,0,0,3,1,1,1,2,5,5,1,4,88888,888888,780,88888,2,15,15,0,2013,38
23,1,2,0,0,1,8,1,5,1,3,8,5,1,100,888888,888888,88888,0,20,40,0,2013,57
24,1,2,0,0,3,6,4,17,6,6,8,1,9,88888,888888,888888,88888,0,10,7,0,2013,65
25,1,1,1,1,1,8,1,4,2,1,8,5,1,350,888888,888888,88888,0,24,49,999,2013,42
26,1,1,1,1,1,10,2,6,4,6,8,5,4,88888,888888,2000,88888,0,15,32,2,2013,66
27,1,2,0,0,6,88,8,88,8,8,8,8,8,88888,888888,888888,88888,88888,88,888,888,2013,42
29,1,2,0,0,1,8,3,16,2,6,8,5,1,50,888888,888888,88888,0,20,35,0,2013,70
31,1,1,1,1,1,5,2,5,3,5,2,1,5,88888,888888,888888,960,0,22,55,15,2013,70
33,2,1,1,0,4,8,1,4,1,1,8,5,1,50,888888,888888,88888,0,4,8,999,2013,61
34,1,1,1,1,1,7,3,14,2,5,7,9,3,88888,6000,888888,88888,0,12,21,0,2013,67
35,1,2,0,0,3,6,1,16,1,3,8,5,1,80,888888,888888,88888,0,99,999,999,2013,44
38,1,1,1,1,6,88,8,88,8,8,8,8,8,88888,888888,888888,88888,88888,88,888,888,2013,75
39,1,2,0,0,6,88,8,88,8,8,8,8,8,88888,888888,888888,88888,88888,88,888,888,2013,47
41,1,1,1,1,1,7,2,10,5,5,2,3,1,450,888888,888888,88888,120,20,50,10,2013,31
42,1,1,1,0,1,7,2,10,5,5,1,3,1,300,888888,888888,88888,100,20,55,15,2013,43
43,1,1,1,1,6,88,8,88,8,8,8,8,8,88888,888888,888888,88888,88888,88,888,888,2013,73
44,1,2,0,0,6,88,8,88,8,8,8,8,8,88888,888888,888888,88888,88888,88,888,888,2013,32
45,1,2,0,0,3,6,2,8,5,5,6,2,4,88888,888888,1300,88888,0,8,12,0,2013,46
46,1,2,0,0,6,88,8,88,8,8,8,8,8,88888,888888,888888,88888,88888,88,888,888,2013,65
47,1,1,1,1,6,88,8,88,8,8,8,8,8,88888,888888,888888,88888,88888,88,888,888,2013,72
48,1,2,0,0,3,10,1,14,2,5,5,1,4,88888,888888,1600,88888,10,20,15,999,2013,39
50,1,2,0,0,9,88,8,88,8,8,8,8,8,88888,888888,888888,88888,88888,88,888,888,2013,70
52,1,2,0,0,6,88,8,88,8,8,8,8,8,88888,888888,888888,88888,88888,88,888,888,2013,42
55,1,1,1,1,5,88,8,88,8,8,8,8,8,88888,888888,888888,88888,88888,88,888,888,2013,63
56,1,1,1,0,1,11,3,16,4,6,8,1,4,88888,888888,900,88888,0,13,9,999,2013,74
57,1,2,0,0,1,6,2,16,1,5,1,5,1,180,888888,888888,88888,30,23,40,0,2013,48
